CellType,CpdName,IC50,Concentration1,Concentration2,Concentration3,Concentration4,Concentration5,Concentration6,Concentration7,Concentration8,Concentration9
Kidney,TM-IV-13,1.461309,0.1094,0.4464,0.7143,0.788,0.8959,0.9585,1.0052,0.9903,1.0565
Kidney,TM-IV-13,0.442372,0.059,0.1174,0.2126,0.6373,0.8736,0.9715,0.9812,1.1281,1.1284
Kidney,TM-IV-13,-0.917043,0.0902,0.0936,0.1076,0.1841,0.3418,0.6177,0.9548,1.0694,1.1095
Kidney,TM-IV-13,0.593296,0.2063,0.3265,0.4488,0.5126,0.7026,0.9573,1.07,1.0745,1.0482
Nervous System,TM-IV-13,-2.179211,0.1671,0.2654,0.297,0.2671,0.3159,0.3626,0.5838,0.8202,0.6671
Nervous System,TM-IV-13,-0.32744,0.0842,0.2765,0.3504,0.5467,0.4482,0.6212,0.6311,0.9557,0.9455
Kidney,TM-IV-13,1.471268,0.2779,0.4879,0.6805,0.8508,0.8692,1.0403,1.1075,1.1012,1.1144
Kidney,TM-IV-13,0.303557,0.1221,0.1435,0.3047,0.602,0.8173,0.8376,0.9331,1.0024,1.2
Kidney,TM-IV-13,0.43422,0.1249,0.2264,0.399,0.5282,0.7504,0.9229,1.0334,1.0745,1.0874
Nervous System,TM-IV-13,-0.151847,0.12,0.3692,0.4068,0.4174,0.5737,0.617,0.8651,1.1585,1.1277
Kidney,TM-IV-13,1.894868,0.4187,0.5926,0.6986,0.829,1.0624,1.0552,1.0975,1.1108,1.1145
Nervous System,TM-IV-13,0.870379,0.266,0.4376,0.5008,0.5338,0.7576,0.887,0.9761,0.9514,0.9854
Liver,TM-IV-13,4.597329,0.8472,1.0168,0.9945,1.0002,1.0461,1.0166,1.031,1.0237,1.0339
Liver,TM-IV-13,1.665105,0.3893,0.6238,0.5924,0.7034,0.8836,0.9759,0.941,1.0548,1.0065
Liver,TM-IV-13,1.862403,1.2922,0.4577,0.7752,0.8112,0.8186,1.0058,1.103,1.1279,1.0932
Liver,TM-IV-13,0.940517,0.1229,0.4267,0.5508,0.6032,0.6741,0.7211,0.9274,1.0034,1.0505
Liver,TM-IV-13,-0.945071,0.0644,0.0577,0.0727,0.1981,0.3777,0.5357,0.8087,0.9416,1.0113
Liver,TM-IV-13,5.581604,0.101,1.0344,0.2942,1.0145,0.9268,1.0444,1.0028,1.014,1.0908
Liver,TM-IV-13,5.696814,0.4504,1.0453,0.5839,1.075,1.012,0.9949,1.0347,0.9875,0.8805
Liver,TM-IV-13,-0.034029,0.1056,0.1055,0.1295,0.4748,0.7053,0.8735,1.0537,1.0495,1.1111
Liver,TM-IV-13,-0.64666,0.0797,0.1023,0.2143,0.3141,0.4237,0.6538,0.8948,0.9551,1.0067
Liver,TM-IV-13,0.139013,0.0573,0.0617,0.0615,0.4835,0.8295,0.9096,0.9728,1.0077,1.1551
Liver,TM-IV-13,-0.356346,0.0713,0.0695,0.0682,0.0949,0.5701,0.7907,0.8895,0.9807,1.0388
Biliary Tract,TM-IV-13,0.897176,0.1642,0.2585,0.4956,0.8209,1.1724,1.1759,1.1894,1.1603,1.1333
Liver,TM-IV-13,4.270731,0.7974,0.9251,0.9572,0.8707,0.9173,1.0324,1.1114,1.0999,1.0638
Liver,TM-IV-13,-0.681094,0.0645,0.0673,0.0776,0.0909,0.2375,0.7772,0.942,1.015,1.0108
Liver,TM-IV-13,-0.545323,0.0542,0.0772,0.1352,0.2662,0.4552,0.7221,0.9658,1.0565,1.0506
Liver,TM-IV-13,-0.625116,0.1326,0.1652,0.2992,0.3291,0.4565,0.6188,0.9314,1.072,0.9846
Liver,TM-IV-13,1.589354,0.3931,0.48,0.6784,0.7022,0.8639,0.9319,0.9863,1.0255,0.9907
Liver,TM-IV-13,1.747554,0.0589,0.5384,0.7854,1.0197,1.0561,0.99,1.0001,0.9839,0.9635
Liver,TM-IV-13,4.688362,0.8535,0.9892,1.0658,1.0457,1.1057,1.0721,1.0843,1.0572,1.0327
Biliary Tract,TM-IV-13,0.392225,0.1106,0.4596,0.5249,0.4852,0.6891,0.9196,1.0982,0.9995,0.9231
Liver,TM-IV-13,0.595958,0.1026,0.2155,0.213,0.2941,0.8638,0.8191,0.9588,1.0671,1.0656
Liver,TM-IV-13,-0.298397,0.142,0.211,0.2756,0.2546,0.4237,0.6739,0.9137,1.0094,1.0312
Liver,TM-IV-13,1.77323,0.3832,0.601,0.7337,0.7701,0.9673,1.0365,1.1125,1.1027,1.0729
Lung,TM-IV-13,1.917741,0.1656,0.5511,0.7659,0.7023,0.7713,0.8524,1.0052,0.9427,1.0814
Lung:NSCLC,TM-IV-13,2.479466,0.052,0.7225,0.8872,0.9503,0.9878,1.0089,1.0067,1.0269,1.0243
Lung:NSCLC,TM-IV-13,2.717739,0.3,0.7802,0.7462,0.9006,0.8706,1.0927,1.1648,1.1261,1.0986
Lung:NSCLC,TM-IV-13,3.996999,0.5893,1.0678,0.8199,1.0286,1.0342,1.098,1.0713,1.0743,1.0819
Lung:NSCLC,TM-IV-13,2.238942,0.1936,0.6245,0.749,0.7325,0.8598,0.9776,0.9437,0.9386,1.079
Lung:NSCLC,TM-IV-13,5.037584,0.8663,0.9179,0.9395,1.0137,1.0231,1.008,1.0212,1.1475,1.1541
Leukemia,TM-IV-13,-2.708541,0.061,0.0733,0.0739,0.0663,0.085,0.1282,0.2526,0.4743,0.7562
Lung:NSCLC,TM-IV-13,0.007649,0.1125,0.3103,0.3173,0.4071,0.5313,0.8675,1.0014,0.9909,0.9988
Pleura,TM-IV-13,0.588604,0.1225,0.1838,0.4172,0.6877,0.8527,0.8811,1.0549,1.1358,1.0244
Lung:NSCLC,TM-IV-13,6.304975,0.3138,1.1145,0.4815,1.0586,1.0451,1,1.0523,1.0478,0.9445
Lung,TM-IV-13,1.856307,0.4806,0.5533,0.6624,0.6595,0.7595,0.9812,0.9637,1.0109,0.9421
Lung,TM-IV-13,-0.486421,0.1033,0.1312,0.2763,0.3111,0.5347,0.7433,0.8852,0.9281,1.0273
Lung,TM-IV-13,4.542167,0.8571,0.8803,0.9318,0.9668,1.0026,1.0136,1.0897,0.9684,1.1814
Lymphoma,TM-IV-13,-0.334542,0.3058,0.4006,0.4294,0.4697,0.5235,0.5988,0.6569,0.7229,0.8389
Lung,TM-IV-13,3.446701,0.6766,0.7452,0.7203,0.7357,0.8886,0.8423,0.9733,0.9401,0.9578
Lung,TM-IV-13,4.4072,0.8324,0.8304,0.8037,0.8512,0.9528,0.9776,0.974,1.1154,1.0113
Lung,TM-IV-13,1.79917,0.4249,1.1467,0.7493,0.7609,0.9237,0.992,1.1174,1.1409,1.0083
Lung,TM-IV-13,1.068511,0.4,0.6752,0.5486,0.5214,0.6407,0.8724,0.976,1.0241,1.1814
UrinaryTrack,TM-IV-13,0.275868,0.0608,0.0677,0.1823,0.6165,0.8535,0.9459,1.1807,1.1074,1.1286
Lymphoma,TM-IV-13,1.608056,0.4833,0.6785,0.5387,0.6425,0.5822,0.6269,0.7665,0.8247,0.7574
Lung,TM-IV-13,2.233942,0.5228,0.608,0.6835,0.7564,0.8029,1.0275,1.033,1.0444,1.0677
Lung,TM-IV-13,-0.007987,0.1261,0.2061,0.2998,0.5026,0.6159,0.7683,0.8853,1.0232,1.1059
Lung,TM-IV-13,1.174312,0.2362,0.4181,0.3804,0.3583,0.5847,0.8727,1.0484,1.0261,1.105
Lung,TM-IV-13,4.256111,0.7863,0.9796,0.9935,0.989,0.9213,1.0084,1.0118,0.9041,1.0824
Lung,TM-IV-13,4.268786,0.7292,0.8975,0.934,0.8604,0.8763,0.9502,0.9327,0.9625,0.9204
Lung,TM-IV-13,4.523074,0.7991,0.8687,0.8347,0.9234,0.9219,1.0373,0.9124,0.9316,0.9016
Lung,TM-IV-13,4.798446,0.8165,0.9807,0.9543,0.9714,0.9114,0.9679,0.9775,0.9537,0.9554
Lung,TM-IV-13,3.936074,0.7251,0.7533,0.7744,0.8175,0.7895,0.8282,1.0209,0.9591,1.0664
Lung,TM-IV-13,-1.119471,0.1148,0.1224,0.1645,0.2298,0.3929,0.5167,0.7478,0.9108,0.9324
Lung,TM-IV-13,4.862813,0.8527,0.9661,0.9811,0.9979,0.9985,0.9434,0.9912,1.0072,0.9553
Lung,TM-IV-13,4.656491,0.7328,0.9854,1.0063,0.9598,1.0859,0.9884,0.9718,0.9584,0.9553
Lung,TM-IV-13,4.076007,0.7967,0.8295,0.8531,0.8048,1.0165,0.9265,1.1325,1.0527,1.0261
Lung,TM-IV-13,4.742459,0.8629,0.8905,0.9259,0.8935,1.0051,1.0853,1.1129,1.1293,1.0287
Lung,TM-IV-13,4.548748,0.7511,0.8651,0.8802,0.8901,0.8685,0.9065,1.0487,0.8204,0.9265
Lung,TM-IV-13,3.615939,0.7018,0.9557,0.9263,0.8499,0.9345,1.0229,1.0945,1.0433,1.1211
Lung,TM-IV-13,3.231163,0.6773,0.7679,0.8002,0.8339,0.8502,1.0391,1.038,1.1125,1.0671
Lung,TM-IV-13,0.940093,0.3872,0.6206,0.6181,0.583,0.6758,0.8017,1.0882,1.0085,1.073
Lung,TM-IV-13,1.740573,0.2212,0.5658,0.6809,0.7593,0.8086,0.9713,1.0577,1.1991,1.096
Lung,TM-IV-13,2.99775,0.6443,0.897,0.8709,0.881,1.0692,0.9713,1.0535,1.1115,1.0917
Lung,TM-IV-13,1.999326,0.3409,0.6343,0.77,0.7616,0.8739,0.9034,0.9855,1.0097,0.9072
Lung,TM-IV-13,3.736878,0.7634,0.9316,0.9239,0.9168,0.9953,1.031,1.0704,1.0929,1.0626
Lung,TM-IV-13,3.356139,0.7274,0.4122,0.5206,0.8661,1.0115,0.9333,1.0153,1.0922,1.0468
Lung,TM-IV-13,3.920471,0.7736,0.9261,0.9358,0.928,0.939,0.9685,1.0615,1.1104,1.158
Lung,TM-IV-13,3.550545,0.6909,0.8366,0.8191,0.8968,0.8727,0.9281,0.9788,0.9855,1.1418
Lung,TM-IV-13,3.588345,0.6256,0.8841,0.9149,0.8732,0.8979,0.9527,0.9632,0.9583,0.9268
Lung,TM-IV-13,2.713636,0.5407,0.7811,0.8301,0.7286,0.955,0.8518,0.8873,1.1078,1.0926
Lung,TM-IV-13,3.318402,0.7002,0.8132,0.9008,0.771,0.9445,0.9377,1.1321,1.1383,1.116
Lung,TM-IV-13,3.011184,0.6089,0.785,0.8692,0.8509,0.8072,0.8975,0.9606,0.9754,1.0148
Lymphoma,TM-IV-13,0.06744,0.3597,0.5028,0.5402,0.4767,0.5329,0.5921,0.638,0.6868,0.6577
Lung,TM-IV-13,3.700236,0.7833,0.8983,0.8679,0.9227,1.0462,1.0437,1.086,1.2036,1.3279
Lung,TM-IV-13,2.797791,0.6396,0.6883,0.662,0.6554,0.6828,0.943,1.0334,1.1272,1.1624
Lung,TM-IV-13,4.352027,0.7832,0.8879,0.8703,0.8536,0.9264,0.9084,0.9586,1.0734,1.0546
Lymphoma,TM-IV-13,3.843046,0.7671,0.9723,0.8952,0.8791,1.0414,0.987,1.1149,1.0771,1.0428
Lung,TM-IV-13,2.756047,0.5421,0.7995,0.7919,0.7079,0.7766,0.9461,1.0232,1.0525,1.0361
Lung,TM-IV-13,5.302342,0.8897,0.9244,0.9538,0.9616,0.9197,0.9076,0.9649,1.0888,0.9858
Lung,TM-IV-13,2.773611,0.6055,0.6502,0.6306,0.749,0.9239,0.9083,0.8451,0.8864,1.0656
Lung,TM-IV-13,1.288977,0.3882,0.4203,0.5897,0.7206,0.8643,0.3688,0.9116,0.9962,1.1044
Lung,TM-IV-13,3.192754,0.7273,0.8924,0.9163,0.9623,1.005,1.0275,1.0462,1.0404,1.0238
Lung:NSCLC,TM-IV-13,0.79229,0.1426,0.4259,0.4787,0.5591,0.7673,0.7974,0.9675,1.0437,1.0487
Lymphoma,TM-IV-13,1.719303,0.3825,0.5903,0.6468,0.6027,0.7265,0.8044,0.8658,0.8686,0.8038
Lung,TM-IV-13,2.177669,0.5818,0.6965,0.5569,0.5149,0.6842,0.8004,0.8943,0.9956,0.923
Lung:NSCLC,TM-IV-13,5.725762,0.1937,1.0093,0.1168,0.9649,1.0532,1.0171,1.0875,1.0132,1.0481
Lung:NSCLC,TM-IV-13,1.986511,0.1698,0.6009,0.8523,1.0113,0.9506,1.0158,1.0016,0.9378,0.9553
Lung:NSCLC,TM-IV-13,2.662432,0.434,0.3878,0.4909,1.041,0.9958,0.981,1.0827,1.0335,1.1638
Lung:NSCLC,TM-IV-13,2.440885,0.5573,0.7405,0.778,1.0057,0.9807,1.0424,1.1243,1.0656,1.1184
Lung,TM-IV-13,4.133394,0.8589,0.7976,0.7456,1.0189,1.0545,1.1586,1.1466,1.1466,1.0164
Lung,TM-IV-13,3.798323,0.698,0.7569,0.7887,0.728,0.6907,0.8404,1.0206,1.0088,0.9489
Lung,TM-IV-13,3.768804,0.7048,0.7667,0.7079,0.7749,0.8167,0.8966,0.8654,0.8316,1.0821
Pleura,TM-IV-13,0.150051,0.1812,0.2162,0.3519,0.5191,0.6557,0.7465,1.0919,1.0852,1.0824
Lung,TM-IV-13,3.619288,0.6299,0.8503,0.8698,0.7817,0.8588,0.9187,0.94,0.9447,1.0287
Lung,TM-IV-13,3.571837,0.7698,0.8064,0.8581,1.0541,1.1727,1.1353,1.3649,0.8078,1.0521
Lung,TM-IV-13,4.583018,0.8019,0.9287,0.9101,0.9537,0.9071,0.9574,0.2657,0.9335,0.9481
Lung,TM-IV-13,2.983674,0.6545,0.8567,0.7339,0.8765,1.0378,1.0959,1.1396,1.0895,1.1091
Lung,TM-IV-13,5.313057,0.5798,1.0147,0.6465,0.9982,1.0217,1.0509,1.0706,0.9868,1.0498
Lung,TM-IV-13,2.091808,0.4821,0.7091,0.6545,0.682,0.7251,0.812,0.9138,0.8937,1.1331
Lung,TM-IV-13,4.499298,0.7961,0.8934,0.8288,0.8124,0.9183,1.0082,1.0147,1.0471,1.0274
Lung,TM-IV-13,2.758487,0.6544,0.6902,0.8819,0.9969,1.0269,1.0041,1.032,1.0106,1.0232
Lung,TM-IV-13,1.098296,0.156,0.3363,0.4521,0.7775,0.9544,0.9785,1.0826,1.008,1.0262
Lung:NSCLC,TM-IV-13,3.38686,0.5449,1.0632,0.8217,1.0332,1.0177,1.0148,1.0272,1.023,1.0095
Lung:NSCLC,TM-IV-13,1.492861,0.0771,0.284,0.6877,0.8109,0.9325,0.9449,1.0509,1.2074,1.0121
Lung:NSCLC,TM-IV-13,5.85793,0.3886,1.0983,0.6801,1.0973,1.0938,1.0868,1.0759,1.0423,1.0612
Lung:NSCLC,TM-IV-13,1.937526,0.4571,0.6435,0.6956,0.9178,1.0193,1.1969,1.0781,1.1868,1.0915
Lung:NSCLC,TM-IV-13,3.655305,0.0635,0.0808,0.1957,0.9663,0.9872,0.9733,0.9777,1.0003,0.983
Lung:NSCLC,TM-IV-13,0.754325,0.3919,0.3813,0.4391,0.6111,0.7313,0.8396,1.0031,1.0972,1.1316
Lung:NSCLC,TM-IV-13,0.357007,0.218,0.2904,0.4472,0.5609,0.7117,0.963,0.9824,0.8744,0.9
Lung:NSCLC,TM-IV-13,1.029133,0.2798,0.2757,0.2799,0.7023,1.0256,1.2028,1.0439,1.1202,1.0709
Lung:NSCLC,TM-IV-13,1.724423,0.3309,0.3166,0.3654,0.9021,1.0322,1.0082,1.0265,0.9228,0.9723
Lung:NSCLC,TM-IV-13,1.31066,0.4111,0.3862,0.3728,0.7143,0.9177,0.9906,1.0971,1.1302,1.1693
UrinaryTrack,TM-IV-13,0.540441,0.2875,0.3359,0.3966,0.5552,0.7533,0.9942,1.0506,1.0531,1.1092
Lymphoma,TM-IV-13,3.878484,0.206,0.7578,0.8719,0.8194,0.8227,0.872,0.9746,0.9732,1.0376
Lung:NSCLC,TM-IV-13,0.696919,0.1173,0.2589,0.4423,0.6201,0.8731,0.9205,1.0074,1.0174,0.988
Brain,TM-IV-13,1.099836,0.1192,0.388,0.5774,0.7277,0.8666,1.038,1.0566,1.1619,1.1773
Skin,TM-IV-13,-0.668507,0.0615,0.143,0.1956,0.297,0.4681,0.6474,0.8525,0.9424,1.0114
Head & Neck,TM-IV-13,4.593763,0.4294,0.9085,0.9448,1.0132,1.0425,1.0467,1.0221,0.9245,0.9828
Miscellaneous,TM-IV-13,1.292067,0.074,0.3649,0.7211,0.7143,0.8051,0.9294,1.1044,0.9798,0.9713
Miscellaneous,TM-IV-13,1.096263,0.0674,0.2557,0.5894,0.7808,0.8416,0.9302,0.9528,1.1279,1.1093
Kidney,TM-IV-13,3.133989,0.2071,0.805,0.8693,0.9644,0.9889,1.0069,1.027,1.0229,1.0444
Kidney,TM-IV-13,3.44755,0.7015,0.7577,1.0286,1.0836,1.0894,1.0686,1.0394,1.0395,1.0149
Kidney,TM-IV-13,0.060194,0.0713,0.0887,0.2265,0.4316,0.77,1.2731,1.0534,1.0272,0.987
Kidney,TM-IV-13,0.442564,0.0603,0.0754,0.2406,0.724,0.9302,0.924,1.0981,1.0524,1.0228
Nervous System,TM-IV-13,3.288842,0.5124,0.8591,0.9082,0.7466,0.9176,1.0587,1.0827,1.0213,1.0083
Leukemia,TM-IV-13,-1.1457,0.1061,0.1423,0.1709,0.2304,0.3927,0.5272,0.6858,0.9328,0.9389
Brain,TM-IV-13,-0.101775,0.1479,0.1895,0.2587,0.3433,0.6633,0.9944,0.9682,1.1403,1.182
Lung:NSCLC,TM-IV-13,3.524695,0.7621,0.7606,0.7915,0.8815,0.9926,1.0749,1.0701,1.0189,1.0491
Leukemia,TM-IV-13,4.51398,0.7918,0.7959,0.7506,0.7481,0.7435,0.8888,0.9158,0.915,0.9396
Head & Neck,TM-IV-13,-0.322907,0.0556,0.0623,0.1137,0.3023,0.5811,0.7805,0.9729,1.0761,1.0643
Head & Neck,TM-IV-13,-0.962685,0.0426,0.0438,0.0489,0.0823,0.2819,0.6126,0.889,0.9939,1.0368
Kidney,TM-IV-13,1.124881,0.3638,0.3908,0.4582,0.6547,0.9539,0.911,1.192,1.1571,1.1807
Leukemia,TM-IV-13,-1.26606,0.0761,0.1416,0.1144,0.3301,0.4571,0.5215,0.5923,0.6732,0.6832
Brain,TM-IV-13,2.707047,0.5644,0.7592,0.713,0.8089,0.8837,0.9095,1.0577,1.1003,1.1474
Leukemia,TM-IV-13,-9.199005,0.1012,0.1049,0.0998,0.0963,0.1036,0.1028,0.1083,0.1123,0.1156
Lung:NSCLC,TM-IV-13,-0.634601,0.0801,0.0988,0.1052,0.2264,0.5158,0.6694,0.9195,0.9721,1.1062
Brain,TM-IV-13,0.715385,0.0894,0.1391,0.4665,0.7446,0.9361,0.8915,1.0952,1.0117,1.0482
Lung:NSCLC,TM-IV-13,1.631576,0.3451,0.5871,0.6229,0.7281,0.9283,0.9247,1.0289,1.0543,0.9826
Thyroid,TM-IV-13,-0.24383,0.078,0.0816,0.1167,0.3479,0.6309,0.8141,0.8689,0.9751,0.9993
Intestine,TM-IV-13,3.038886,0.6271,0.7658,0.894,0.8052,0.9332,0.8657,1.0901,1.0545,1.1327
Lung,TM-IV-13,3.388171,0.5972,0.9933,0.6625,0.9526,1.0246,0.9069,0.9578,0.9548,0.9837
Skin,TM-IV-13,2.576653,0.0859,0.7056,0.7094,0.5561,0.8169,0.911,1.0268,1.0393,1.0521
Skin,TM-IV-13,5.245735,0.6058,1.0275,0.5756,1.0101,0.9842,1.0127,0.9805,1.0388,1.0389
Intestine,TM-IV-13,3.041558,0.708,0.6855,0.7534,0.9647,1.0368,0.9869,1.0242,1.0269,1.148
Brain,TM-IV-13,1.34418,0.2462,0.4543,0.6783,0.7681,0.8454,0.9237,1.0012,0.9936,1.0379
Brain,TM-IV-13,0.662795,0.0622,0.0693,0.4117,0.7127,0.8945,1.0326,1.1559,1.2027,1.2134
Brain,TM-IV-13,0.451281,0.065,0.1111,0.3332,0.6543,0.8112,0.9306,1.0919,1.0942,1.188
Lung:NSCLC,TM-IV-13,2.626364,0.5646,0.709,0.6545,0.7123,0.7477,0.922,1.0792,0.9851,1.025
Brain,TM-IV-13,1.033534,0.1723,0.3329,0.5997,0.7615,0.8556,1.0148,1.0929,1.1565,1.1728
Brain,TM-IV-13,0.863771,0.2354,0.3738,0.5143,0.6095,0.8431,0.9601,1.1138,1.1026,1.1309
Brain,TM-IV-13,1.643053,0.3768,0.5597,0.6288,0.6836,0.9969,0.8786,0.9603,0.9263,0.916
Leukemia,TM-IV-13,2.787607,0.3484,0.784,0.824,0.7461,0.8315,0.9609,1.16,1.1762,1.0454
Skin,TM-IV-13,0.456261,0.0651,0.2524,0.3441,0.5669,0.8505,0.9731,1.0822,1.1402,1.1288
Lymphoma,TM-IV-13,-4.351656,0.1399,0.1506,0.141,0.1625,0.1592,0.1603,0.173,0.2471,0.4935
UrinaryTrack,TM-IV-13,2.710399,0.1736,0.365,0.8706,0.9337,1.0127,1.0075,1.0362,1.0492,1.0174
Esophagus,TM-IV-13,0.731378,0.158,0.2635,0.4629,0.6656,0.8128,0.9347,1.0973,1.0624,1.0145
Lung:NSCLC,TM-IV-13,2.445896,0.5685,0.7391,0.8787,0.8961,0.9364,0.9329,1.0348,0.8967,0.9234
Lung:NSCLC,TM-IV-13,0.535054,0.0985,0.1757,0.3944,0.6202,0.8922,1.0765,1.2241,1.3107,1.195
Leukemia,TM-IV-13,-7.247912,0.1837,0.2195,0.207,0.2267,0.2625,0.2732,0.2878,0.2882,0.2993
Leukemia,TM-IV-13,-10.149265,0.0832,0.1202,0.1284,0.1246,0.1334,0.1392,0.1493,0.1652,0.1627
Bone,TM-IV-13,1.085902,0.4536,0.5816,0.5967,0.5657,0.6716,0.7664,0.9101,0.9849,0.9589
Bone,TM-IV-13,0.818867,0.3922,0.6228,0.5206,0.5218,0.6218,0.7754,0.883,1.0136,1.0133
Bone,TM-IV-13,-0.207132,0.273,0.4322,0.4782,0.4808,0.6219,0.7426,0.7359,0.8658,0.9115
Bone,TM-IV-13,1.112323,0.4317,0.5041,0.5543,0.6334,0.7612,0.9011,1.0061,0.999,1.2214
Bone,TM-IV-13,-0.777362,0.2636,0.3042,0.3042,0.3497,0.4472,0.6186,0.8543,1.017,0.9667
Bone,TM-IV-13,1.015856,0.2759,0.4476,0.5244,0.6392,0.7728,0.9156,0.9884,0.9827,1.1207
Biliary Tract,TM-IV-13,0.028014,0.0769,0.1474,0.2652,0.3832,0.6884,0.9562,0.9915,1.1161,1.0953
Lung:NSCLC,TM-IV-13,1.78905,0.4019,0.6209,0.6706,0.6181,0.734,0.9818,1.1043,1.0897,1.0422
Bone,TM-IV-13,0.256603,0.2774,0.3562,0.417,0.4477,0.5997,0.8369,0.9076,1.0267,1.1022
Bone,TM-IV-13,3.109039,0.6899,0.6265,1.0748,0.4586,1.0685,1.0508,1.0754,1.1061,1.0615
Bone,TM-IV-13,-2.096722,0.1368,0.3024,0.3361,0.3163,0.38,0.4235,0.4896,0.5989,0.6998
Bone,TM-IV-13,0.26048,0.2341,0.3787,0.4148,0.5262,0.6457,0.7237,0.8915,0.9263,0.9108
Bone,TM-IV-13,1.406999,0.3629,0.6723,0.6149,0.5952,0.956,0.931,1.0546,0.9686,1.0903
Bone,TM-IV-13,1.052592,0.3501,0.53,0.5868,0.5146,0.5851,0.8246,1.0305,1.039,1.1172
Bone,TM-IV-13,0.616816,0.0931,0.2214,0.2807,0.3976,0.8614,0.9058,0.9366,0.987,0.9881
Bone,TM-IV-13,2.13834,0.5454,0.9303,0.7081,0.7636,0.8532,0.9815,0.9162,1.1972,0.9372
Bone,TM-IV-13,0.366593,0.2736,0.4784,0.4722,0.5122,0.6986,0.786,0.8508,0.926,0.9211
Lung:NSCLC,TM-IV-13,0.177065,0.0834,0.093,0.1796,0.487,0.9807,1.0921,1.1442,1.1352,1.1533
Skin,TM-IV-13,2.021333,0.3613,0.7662,0.7789,0.9487,1.0163,1.0396,1.0634,1.0709,1.0506
Brain,TM-IV-13,0.430753,0.2679,0.3605,0.529,0.5246,0.5869,0.6992,0.95,1.0475,1.1299
Stomach,TM-IV-13,-0.452261,0.2476,0.2984,0.3182,0.2922,0.3425,0.6704,0.8612,0.9975,1.0951
Brain,TM-IV-13,0.797987,0.0672,0.1493,0.507,0.7447,0.8595,0.9159,0.9732,0.9655,0.9847
Nervous System,TM-IV-13,-0.022531,0.1572,0.2088,0.3605,0.5333,0.6662,0.6655,0.8617,0.9772,0.9274
Nervous System,TM-IV-13,1.332958,0.0992,0.4792,0.6384,0.6358,0.7812,0.888,1.0664,1.0719,1.0819
Leukemia,TM-IV-13,1.898187,0.4082,0.6597,0.6809,0.7163,0.8557,0.808,1.0406,1.0287,0.9626
Stomach,TM-IV-13,4.851198,0.1581,0.8836,1.0671,0.99,1.0776,1.1101,1.0903,1.06,1.0369
Kidney,TM-IV-13,0.133283,0.1248,0.1917,0.2905,0.4937,0.6785,0.9652,0.9123,1.2274,1.1808
Leukemia,TM-IV-13,-1.418243,0.1487,0.1822,0.188,0.2095,0.3534,0.4775,0.8682,1.0784,1.118
Lung:NSCLC,TM-IV-13,0.367931,0.0896,0.3329,0.4148,0.5183,0.641,0.8085,0.9343,1.0073,1.0122
Intestine,TM-IV-13,3.609507,0.7557,0.7815,0.8025,0.8615,1.0118,0.9577,1.1157,1.1737,1.1137
Head & Neck,TM-IV-13,0.44829,0.1889,0.2551,0.4183,0.6368,1.1041,1.3201,1.5291,1.2554,0.8433
Lung:NSCLC,TM-IV-13,3.605719,0.2532,0.9772,0.6965,0.8871,1.1074,1.0812,0.9864,1.0829,1.0542
Skin,TM-IV-13,-0.886543,0.0705,0.2093,0.2348,0.2417,0.3815,0.6007,1.1068,0.936,1.1243
Intestine,TM-IV-13,0.423998,0.0953,0.176,0.2084,0.6082,0.7989,0.801,1.0101,1.0317,1.0453
Lung:NSCLC,TM-IV-13,5.679757,0.8922,1.0602,0.9987,1.0304,1.0427,1.0561,1.0503,1.0518,1.0441
Nervous System,TM-IV-13,0.652622,0.1326,0.3487,0.469,0.8382,0.6443,0.8176,0.9685,1.3688,1.2235
Skin,TM-IV-13,0.194481,0.0587,0.0652,1.3123,0.5003,0.7067,1.1791,1.1201,0.9406,1.1152
Skin,TM-IV-13,-0.158918,0.082,0.084,0.1525,0.4209,0.6637,0.7292,0.8392,0.9827,0.9196
Pleura,TM-IV-13,-0.261822,0.0894,0.0927,0.1312,0.3117,0.6926,0.8881,0.9198,0.9669,1.1434
Pleura,TM-IV-13,-0.189468,0.096,0.1001,0.1938,0.4178,0.6675,0.7506,0.8676,0.9537,1.1315
Lung,TM-IV-13,5.483782,0.3785,0.9879,0.419,0.986,0.9781,0.9983,0.9946,0.9758,0.6745
Lung:NSCLC,TM-IV-13,2.570916,0.5924,0.7735,1.0253,1.0854,1.109,1.0292,1.0814,1.0553,1.0493
Leukemia,TM-IV-13,4.675126,1.1324,0.8447,0.8664,0.9026,0.8925,0.879,0.9275,0.9719,0.9093
Leukemia,TM-IV-13,4.257201,0.6158,0.924,0.9211,1.1032,1.1454,1.059,1.1131,1.0528,1.0225
Thyroid,TM-IV-13,0.477641,0.0449,0.1186,0.3666,0.5933,0.8122,0.9444,1.1335,1.0665,1.0504
Brain,TM-IV-13,1.454726,0.2238,0.4822,0.6782,0.8404,0.9358,1.039,1.0331,1.0475,1.0367
Ovary,TM-IV-13,-0.016607,0.1717,0.2516,0.4174,0.4472,0.6577,0.8291,0.9785,1.2635,1.0157
Brain,TM-IV-13,2.917817,0.6441,0.684,0.6412,0.7077,0.9102,1.0092,1.008,0.9931,1.0369
Intestine,TM-IV-13,2.511945,0.5622,0.662,0.7268,0.7722,0.9294,0.9359,0.9801,0.996,1.1499
Brain,TM-IV-13,4.115184,0.7946,0.9079,0.8726,0.8756,1.0557,1.0916,1.095,1.1739,1.1793
